nombre,municipio_id
Desarrollo Económico,Metepec
Desarrollo Urbano,Metepec
Dirección de Desarrollo Económico,Metepec
DIRECCIÓN DE DESARROLLO URBANO,Metepec
DIRECCIÓN DE GOBIERNO,Metepec
Dirección de Medio Ambiente,Metepec
DIRECCIÓN DE MEDIO AMBIENTE,Metepec
DIRECCIÓN DE NORMATIVIDAD,Metepec
Normatividad,Metepec
OPDAPAS,Metepec
OPDAPAS.ADMINISTRACIÓN,Metepec
OPDAPAS.ATENCIÓN A USUARIOS,Metepec
OPDAPAS.COMERCIALIZACIÓN,Metepec
OPDAPAS.DEPTO DE PALNEACIÓN,Metepec
OPDAPAS.PADRÓN A USUARIOS,Metepec
OPDAPAS.UNIDAD JURÍDICA,Metepec
Otra,Metepec
Protección Civil,Metepec
Subdirección de Ingresos,Metepec
Tesorería,Metepec
TESORERÍA MUNICIPAL,Metepec
