nombre,descripcion,municipio_id
ARTICULOS MAGNETOFONICOS Y MUSICALES,N/A,Chalco
ABARROTES AL POR MENOR (TIENDITAS MISCELANEAS),N/A,Chalco
ACUARIO,N/A,Chalco
AGENCIA DE TELEFONIA CELULAR,N/A,Chalco
ALIMENTO PARA GANADO Y AVES,N/A,Chalco
APARATOS ELECTRICOS Y ELECTRONICOS,N/A,Chalco
ARTESANIAS,N/A,Chalco
ARTICULOS DEPORTIVOS,N/A,Chalco
ARTICULOS DE LIMPIEZA,N/A,Chalco
ARTICULOS DE PLASTICO,N/A,Chalco
ARTICULOS ESOTERICOS,N/A,Chalco
ARTICULOS FOTOGRAFICOS,N/A,Chalco
ARTICULOS PARA COSTURA,N/A,Chalco
ARTICULOS RELIGIOSOS,N/A,Chalco
ASADERO DE POLLOS,N/A,Chalco
BILLETES DE LOTERIA,N/A,Chalco
BOLSAS DE POLIETILENO,N/A,Chalco
BOMBAS ELECTRICAS,N/A,Chalco
BONETERIA/MERCERIA,N/A,Chalco
BOUTIQUE / TIENDA DE ROPA,N/A,Chalco
CAFETERIA,N/A,Chalco
CARNICERIA,N/A,Chalco
COMERCIALIZADORA DE AGUA Y REFRESCOS,N/A,Chalco
DULCERIA,N/A,Chalco
ELECTRODOMESTICOS,N/A,Chalco
ELECTRONICA,N/A,Chalco
EQUIPO DE COMPUTO,N/A,Chalco
ESTANQUILLO DE REVISTAS Y PERIODICOS,N/A,Chalco
ESTUDIO FOTOGRAFICO,N/A,Chalco
EXPENDIO DE PAN,N/A,Chalco
FARMACIA,N/A,Chalco
FERRETERIA / TLAPALERIA,N/A,Chalco
FLORERIA,N/A,Chalco
FONDA/COCINA ECONOMICA,N/A,Chalco
GRANOS Y SEMILLAS,N/A,Chalco
JOYERIA,N/A,Chalco
LIBRERIA,N/A,Chalco
LONCHERIA,N/A,Chalco
LOTERIA,N/A,Chalco
MADERERIA,N/A,Chalco
MAQUINARIA AGRICOLA,N/A,Chalco
MARISQUERIA / COCTELERIA,N/A,Chalco
MATERIAL ELECTRICO,N/A,Chalco
MATERIALES PARA EL CAMPO,N/A,Chalco
MATERIALES PARA LA CONSTRUCCION,N/A,Chalco
MATERIAS PRIMAS Y ARTICULOS PARA FIESTAS,N/A,Chalco
MINISUPER,N/A,Chalco
MOBILIARIO DE OFICINA,N/A,Chalco
MOCHILAS Y MALETAS,N/A,Chalco
MUEBLERIA,N/A,Chalco
MUEBLES EQUIPO E INSTRUMENTAL DE ESPECIALIDADES MEDICAS,N/A,Chalco
OPTICA,N/A,Chalco
PALETERIA Y NEVERIA,N/A,Chalco
PAPEL CARTON PLASTICO Y DERIVADOS,N/A,Chalco
PAPELERIA,N/A,Chalco
PASTELERIA Y REPOSTERIA,N/A,Chalco
PELETERIA,N/A,Chalco
PELUQUERIA,N/A,Chalco
PERFUMERIA,N/A,Chalco
PISOS Y AZULEJOS,N/A,Chalco
PLOMERIA,N/A,Chalco
POLLERIA,N/A,Chalco
PRODUCTOS DE BELLEZA,N/A,Chalco
RECAUDERIA VERDULERIA FRUTERIA,N/A,Chalco
RELOJERIA,N/A,Chalco
RESTAURANTE,N/A,Chalco
SALCHICHONERIA Y CARNES FRIAS,N/A,Chalco
TABAQUERIA,N/A,Chalco
TALABARTERIA,N/A,Chalco
TAQUERIA,N/A,Chalco
TELAS Y SIMILARES,N/A,Chalco
TIENDA DE JUGUETES,N/A,Chalco
TIENDA DE ARTICULOS PARA CAMPAMENTO,N/A,Chalco
TIENDA DE DISCOS,N/A,Chalco
TIENDA DE REGALOS / NOVEDADES,N/A,Chalco
TIENDA NATURISTA,N/A,Chalco
VENTA DE ALFOMBRAS Y PERSIANAS,N/A,Chalco
VENTA Y RENTA DE VIDEOJUEGOS,N/A,Chalco
VIDEOCLUB,N/A,Chalco
VIDRIERIA,N/A,Chalco
VIVERO,N/A,Chalco
ZAPATERIA,N/A,Chalco
ASEGURADORA,N/A,Chalco
ARRENDAMIENTO DE BIENES MUEBLES,N/A,Chalco
GIMNASIO,N/A,Chalco
LAVANDERIA Y TINTORERIA,N/A,Chalco
MANTENIMIENTO Y REPARACION DE APARATOS ELECTRODOMESTICO,N/A,Chalco
PRESTACION DE SERVICIOS DE LIMPIEZA,N/A,Chalco
RENTA DE CAMIONES DE CARGA,N/A,Chalco
DISEnO GRAFICO SERIGRAFIA Y ROTULOS,N/A,Chalco
ACADEMIAS DE EDUCACION FISICA Y ARTISTICA,N/A,Chalco
AGENCIA DE PUBLICIDAD,N/A,Chalco
AGENCIA DE SEGURIDAD,N/A,Chalco
AGENCIA DE VIAJES,N/A,Chalco
CAJA DE AHORRO,N/A,Chalco
CASA DE CAMBIO,N/A,Chalco
CASA DE EMPEnO,N/A,Chalco
CASETAS TELEFONICAS,N/A,Chalco
