nombre,descripcion,municipio_id
BUFETES JURÍDICOS,N/A,Tenango del Valle
NOTARÍAS PÚBLICAS,N/A,Tenango del Valle
"APOYO PARA EFECTUAR TRÁMITES LEGALES (CONSULTORÍA, JURÍDICAS, CONTABLES ETC)",N/A,Tenango del Valle
ANUNCIOS PUBLICITARIOS,N/A,Tenango del Valle
COMERCIALIZADORA DE HILOS Y TELAS,N/A,Tenango del Valle
COMERCIALIZADORA DE BLANCOS,N/A,Tenango del Valle
COMERCIALIZADORA DE TEXTILES,N/A,Tenango del Valle
COMERCIALIZADORA DE PRENDAS DE VESTIR,N/A,Tenango del Valle
DISTRIBUIDORA DE CALZADO,N/A,Tenango del Valle
TIENDA DE ABARROTES Y/O MISCELÁNEAS SIN VENTA DE BEBIDAS ALCOHÓLICAS,N/A,Tenango del Valle
RECAUDERÍA,N/A,Tenango del Valle
VENTA DE HUEVO,N/A,Tenango del Valle
"COMERCIO DE SEMILLAS, ESPECIAS Y CHILES SECOS",N/A,Tenango del Valle
VENTA DE LÁCTEOS Y CARNE FRÍAS,N/A,Tenango del Valle
VENTA DE DULCES Y MATERIAS PRIMAS PARA REPOSTERÍA,N/A,Tenango del Valle
PANADERÍA Y PASTELERÍA,N/A,Tenango del Valle
"VENTA DE REFRESCOS, AGUA EMBOTELLADA Y HIELO EMPAQUETADO ",N/A,Tenango del Valle
BOUTEQUE  O VENTA DE ROPA NUEVA TEXTIL,N/A,Tenango del Valle
BOUTEQUE Y/O VENTA DE ROPA NUEVA DE CUERO Y PIEL,N/A,Tenango del Valle
ZAPATERÍAS,N/A,Tenango del Valle
VENTA DE PRODUCTOS FARMACEUTICOS (FARMACIA),N/A,Tenango del Valle
VENTA DE MEDICAMENTOS HOMEÓPATAS,N/A,Tenango del Valle
FARMACIAS SIN MINI SÚPER,N/A,Tenango del Valle
VENTA DE PRODUCOTOS NATURISTAS Y COMPLEMENTOS ALIMENTICIOS,N/A,Tenango del Valle
ARTÍCULOS DE MERCERÍA Y BONETERÍA,N/A,Tenango del Valle
ACTIVIDADES DE MANUALIDADES,N/A,Tenango del Valle
PAÑALES DESECHABLES,N/A,Tenango del Valle
SOMBREROS,N/A,Tenango del Valle
VENTA DE ARTÍCULOS DE PAPELERÍA,N/A,Tenango del Valle
LIBRERÍAS,N/A,Tenango del Valle
VENTA DE PERIÓDICOS Y REVISTAS,N/A,Tenango del Valle
MATERIALES ELÉCTRICOS,N/A,Tenango del Valle
PLOMERÍA,N/A,Tenango del Valle
DECORACIÓN,N/A,Tenango del Valle
CALZADO,N/A,Tenango del Valle
ARTÍCULOS FOTOGRÁFICOS,N/A,Tenango del Valle
ESTUDIOS FOTOGRÁFICOS,N/A,Tenango del Valle
PRODUCTOS DE PERFUMERÍA,N/A,Tenango del Valle
EQUIPO DE COMPUTO,N/A,Tenango del Valle
CENTROS DE INTERNET,N/A,Tenango del Valle
JUGUETERÍAS,N/A,Tenango del Valle
LENTES Y APARATOS ORTOPÉDICOS,N/A,Tenango del Valle
ARTÍCULOS DE PERFUMERÍA,N/A,Tenango del Valle
COSMETICOS,N/A,Tenango del Valle
ARTÍCULOS DE JOYERÍA Y RELOJES,N/A,Tenango del Valle
JUGUETES Y BICICLETAS,N/A,Tenango del Valle
ARTÍCULOS Y APARATOS DEPORTIVOS,N/A,Tenango del Valle
REGALOS,N/A,Tenango del Valle
ARTÍCULOS RELIGIOSOS,N/A,Tenango del Valle
"CRISTALERÍA, LOZA Y UTENCILIOS DE COCINA",N/A,Tenango del Valle
COMPUTADORAS Y ACCESORIOS,N/A,Tenango del Valle
TELÉFONOS Y APARATOS DE COMUNICACIÓN,N/A,Tenango del Valle
ARTÍCULOS PARA LA DECORACIÓN DE INTERIORES,N/A,Tenango del Valle
"ALFOMBRAS, CORTINAS Y TAPICES ",N/A,Tenango del Valle
LÁMPARAS Y CANDILES,N/A,Tenango del Valle
ARTÍCULOS DECORATIVOS DE INTERIORES,N/A,Tenango del Valle
ARTICULOS USADOS,N/A,Tenango del Valle
VIDRIOS Y ESPEJOS,N/A,Tenango del Valle
