nombre,descripcion,path,municipio_id
Alineamiento y número oficial vigente,N/A,N/A,Metepec
Certificado parcelario o TÍtulo de Solar Urbano,N/A,N/A,Metepec
Contar con licencia o permiso,N/A,N/A,Metepec
Copia de la certificación de clave y valor catastral,N/A,N/A,Metepec
Croquis de ubicación del predio,N/A,N/A,Metepec
Cumplir con la normatividad vigente,N/A,N/A,Metepec
Dictamen de impacto ambiental,N/A,N/A,Metepec
Dictamen de impacto regional,N/A,N/A,Metepec
Dictamen de Impacto Regional expedido por el Gobierno del Estado de México,N/A,N/A,Metepec
Dictamen de impacto vial,N/A,N/A,Metepec
Dictamen de protección civil,N/A,N/A,Metepec
Documento que acredite la propiedad o posesión del inmueble.,N/A,N/A,Metepec
Escrito dirigido al Organismo,Mediante el que manifieste bajo protesta de decir verdad,N/A,Metepec
Escritura pública,N/A,N/A,Metepec
Formato FOR-DDU-DLC-001 debidamente requisitado,N/A,N/A,Metepec
Formato único de solicitud de alta de licencia de funcionamiento SARE,N/A,N/A,Metepec
fotografía,N/A,N/A,Metepec
Fotografías interiores de los acabados,N/A,N/A,Metepec
Identificación oficial,INE o IFE vigente,N/A,Metepec
Identificación Oficial del propietario o posesionario,N/A,N/A,Metepec
Licencia de alineamiento y número oficial y uso de suelo,Actualizadas al bimestre anterior,N/A,Metepec
"Licencia de construcción, prorrogas, ampliación, terminación de obra anterior, oficio de suspensión de obra, si es que se cuenta",N/A,N/A,Metepec
Licencia de Uso del Suelo de Impacto Regional,N/A,N/A,Metepec
Llenar el formato proporcionado por el Gobierno del Estado de México,N/A,http://metepec.gob.mx/tramitesyservicios/Desarrollo_Economico/DE_dictamen_Automotriz.pdf,Metepec
Ninguno,N/A,N/A,Metepec
Nota de movimiento generada por las Áreas de Atención a Usuarios.,N/A,N/A,Metepec
Pago de agua,En caso de contar con el servicio,N/A,Metepec
Permitir acceso,N/A,N/A,Metepec
Permitir la visita al predio,N/A,N/A,Metepec
Plano de lotificación de conjunto,N/A,N/A,Metepec
Planos,(60 cm X 90 cm),N/A,Metepec
Planos arquitectónicos autorizados,N/A,N/A,Metepec
Poder o Carta Poder en su caso,Original y copia,N/A,Metepec
Presentar el permiso o Licencia correspondiente,N/A,N/A,Metepec
Presentar la Constancia y Licencia o Permiso que se le requiera,N/A,N/A,Metepec
Proyecto de agua potable,Plano y memoria de cálculo,N/A,Metepec
Proyecto de alcantarillado pluvial,Plano y memoria de cálculo,N/A,Metepec
Proyecto de alcantarillado sanitario,Plano y memoria de cálculo,N/A,Metepec
Recibo de pago de los derechos correspondientes,N/A,N/A,Metepec
Recibos de pago anteriores,Se recomienda llevar los últimos 4,N/A,Metepec
Registro de perito responsable de obra privada vigente,N/A,N/A,Metepec
Reglamento Interno del condominio,Cuando la construcción este bajo este régimen y visto bueno del Comité.,N/A,Metepec
resoluciones judiciales o administrativas inscritas en el Instituto de la Función Registral,N/A,N/A,Metepec
Se debe presentar copia de la solicitud de renovación sellada por la Dirección de Desarrollo Económico o de la Licencia de Funcionamiento anterior,N/A,N/A,Metepec
Solicitud de la expedición,N/A,N/A,Metepec
último pago predial,N/A,N/A,Metepec
Verificación administrativa por parte del OPDAPAS del municipio de Metepec,N/A,N/A,Metepec
Visto Bueno del Comité cuando la construcción este bajo Régimen en Condominio,N/A,N/A,Metepec
